SERP_people_also_ask,SERP_ads,SERP_top_stories,SERP_featured_snippet,Schema_thing_place,Schema_thing_place_accommodation,Schema_thing_action_tradeAction,Frequent_traveller,location,age_range,keywords,easy_buying_process,reasonable_prices,turkish_citizenship,leads,,,
0,1,0,0,1,1,0,0.50,0.50,0.80,0.65,0.8,0.6591,0.5441,0.7891,,,
1,1,0,0,1,1,1,0.80,0.30,0.30,0.75,0.9,0.7341,0.6221,0.5391,,,
1,1,0,0,1,1,1,0.70,0.80,0.80,0.48,0.8,0.4443,0.5433,0.8493,,,
1,1,0,0,1,1,0,0.50,0.50,0.40,0.75,0.7,0.5251,0.8171,0.6291,,,
1,1,0,0,1,1,1,0.70,0.70,0.70,0.84,0.6,0.5431,0.7731,0.6341,,,
1,1,0,1,1,1,0,0.50,0.20,0.80,0.56,0.8,0.7365,0.4351,0.4351,,,
1,1,0,0,1,1,0,0.80,0.80,0.50,0.48,0.4,0.5593,0.8522,0.6435,,,
1,1,0,0,1,0,0,0.60,0.50,0.90,0.57,0.5,0.6754,0.5342,0.8443,,,
1,0,0,0,1,0,0,0.70,0.70,0.60,0.47,0.8,0.3785,0.8325,0.5845,,,
1,0,0,1,1,0,0,0.40,0.40,0.30,0.69,0.5,0.6755,0.8655,0.9325,,,
1,1,0,0,1,1,0,0.80,0.90,0.70,0.53,0.8,0.8343,0.6973,0.7343,,,
0,1,0,0,1,0,0,0.20,0.50,0.80,0.42,0.7,0.5453,0.7667,0.6443,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
